"训练所用数据集：data/0HP 
",
测试集上的损失率,测试集上的准确率
0.033283427357673645,1.0
0.02380017563700676,0.9990000128746033
0.021583713591098785,1.0
0.016687963157892227,0.9990000128746033
0.016948288306593895,0.996999979019165
0.017660455778241158,0.9990000128746033
0.015187995508313179,0.9980000257492065
8.236624717712402,0.4819999933242798
0.012376796454191208,0.9990000128746033
0.4480060636997223,0.9100000262260437
0.017113657668232918,0.9990000128746033
78.84215545654297,0.20000000298023224
0.016179120168089867,0.9980000257492065
0.024991946294903755,0.9980000257492065
0.014618625864386559,0.9980000257492065
0.012243692763149738,0.9990000128746033
0.04495988413691521,0.9980000257492065
0.01264575682580471,1.0
0.009663953445851803,1.0
0.01158308144658804,0.9990000128746033
"训练所用数据集：data/1HP 
",
测试集上的损失率,测试集上的准确率
0.05588534101843834,0.9909999966621399
130.59689331054688,0.10000000149011612
0.16179713606834412,0.9739999771118164
0.26351186633110046,0.9599999785423279
0.1970546841621399,0.9739999771118164
0.08610131591558456,0.9800000190734863
0.09077196568250656,0.9800000190734863
0.0894746482372284,0.9860000014305115
0.14269275963306427,0.9789999723434448
0.12433838099241257,0.9789999723434448
0.05964135378599167,0.9860000014305115
0.07118337601423264,0.984000027179718
0.07251644134521484,0.9819999933242798
0.15000948309898376,0.9750000238418579
0.10144294798374176,0.9829999804496765
0.11614523828029633,0.9810000061988831
0.0801064595580101,0.984000027179718
0.10806822776794434,0.9800000190734863
0.06523657590150833,0.9860000014305115
0.104825958609581,0.9819999933242798
"训练所用数据集：data/2HP 
",
测试集上的损失率,测试集上的准确率
0.02730298414826393,1.0
0.015662066638469696,1.0
0.017092270776629448,1.0
0.011182310059666634,1.0
0.01788865402340889,1.0
0.012696259655058384,1.0
0.008406943641602993,1.0
0.09595473110675812,0.9800000190734863
0.008109357208013535,1.0
0.01271606981754303,1.0
0.008210169151425362,1.0
0.008582468144595623,1.0
0.013822915963828564,1.0
0.0084702018648386,1.0
0.01754564791917801,1.0
0.01196991465985775,1.0
0.008281826972961426,1.0
0.011477766558527946,1.0
0.01054657157510519,1.0
22.74444580078125,0.3310000002384186
"训练所用数据集：data/3HP 
",
测试集上的损失率,测试集上的准确率
0.027461286634206772,1.0
0.015576442703604698,1.0
0.0191225316375494,1.0
0.014118925668299198,1.0
0.012964228168129921,1.0
0.009490453638136387,1.0
0.013824173249304295,1.0
0.009217694401741028,1.0
0.006400594487786293,1.0
0.009055274538695812,1.0
0.011381546966731548,1.0
0.011108583770692348,1.0
0.007710399571806192,1.0
0.033292680978775024,0.996999979019165
0.01015453226864338,1.0
0.007834398187696934,1.0
0.010218283161520958,1.0
0.007063993252813816,1.0
0.009031331166625023,1.0
0.010159680619835854,1.0
